"账号ID","原线路名称","类型","所属分组","协议平台","清理前状态","当前调度状态","处理分类","依据"
"7345","https://www.cctq.ai/ 0.2","原有","ClaudeCode-Kiro逆向","anthropic","error","已删除","已删除","8 个模型多轮均失败，删除前复查仍无成功结果"
"7346","https://ai.tkapi.site/ 0.08","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","授权 / 余额待核对，保留","本次返回权限错误，调度站旧记录为余额不足；尚未确认模型全部失效"
"7347","https://botcf.com/ 0.12","原有","ClaudeCode-Kiro逆向","anthropic","active","允许调度","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7348","https://xiaobai.best/ 0.12","原有","ClaudeCode-Kiro逆向","anthropic","error","已删除","已删除","11 个模型多轮均失败，删除前复查仍无成功结果"
"7349","https://vip.qimux.com/ 0.13","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","复测通过，保留","复测 claude-fable-5 成功；未据此认定其他模型全部可用"
"7350","https://api.zayuapi.com/ 0.1","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7351","https://api.zayuapi.com/ 0.1","原有","Claude-Cursor逆向","anthropic","error","已删除","已删除","10 个模型均返回 401，API Key 失效；删除前再次验证失败"
"7352","https://jinnyapi.com/ 0.4","原有","Claude-Cursor逆向","anthropic","active","已暂停","复测通过，保留","本次复测 4 个模型成功"
"7353","https://codexauv.com/ 0.12","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7354","https://codexauv.com/ 0.12","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7355","https://ai.apistation.net/ 0.16","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7356","https://www.xcmapi.com/ ","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","复测通过，保留","复测 claude-opus-4-6 成功；未据此认定其他模型全部可用"
"7357","https://api.mouubox.com/","原有","ClaudeCode-Kiro逆向","anthropic","error","已删除","已删除","11 个模型多轮均失败，删除前复查仍无成功结果"
"7358","https://new.linjsonapi.me/","原有","Codex | Plus号池","openai","active","已暂停","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7359","Himhu4","原有","Grok","grok","active","已暂停","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7362","Himhu3","原有","Grok","grok","active","已暂停","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7363","Himhu2","原有","Grok","grok","active","已暂停","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7364"," Himhu1","原有","Grok","grok","active","已暂停","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7365","Himhu","原有","Grok","grok","active","已暂停","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7367","https://api.anc1ent.top/","原有","ClaudeCode-Kiro逆向","anthropic","active","已暂停","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7368","https://newapi.dragon3api.com/","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","复测通过，保留","复测 claude-fable-5 成功；未据此认定其他模型全部可用"
"7370","https://newapi.dragon3api.com/","原有","Codex-image","openai","active","允许调度","专用模型待验证，保留","包含图片等专用模型，现有文本探针无法完整验证，不能据此删除整条线路"
"7371","https://www.xcmapi.com","原有","Codex-image","openai","active","已暂停","专用模型待验证，保留","包含图片等专用模型，现有文本探针无法完整验证，不能据此删除整条线路"
"7372","https://api.tcvps.cn/","原有","Kimi","openai","active","允许调度","复测通过，保留","复测 kimi-k2.6 成功；未据此认定其他模型全部可用"
"7373","https://api.hanhanapi.top/","原有","ClaudeCode-Max-C","anthropic","active","允许调度","复测通过，保留","本次复测 8 个模型成功"
"7374","https://api.hanhanapi.top/","原有","ClaudeCode-Max","anthropic","active","已删除","已删除","10 个模型多轮均失败，删除前复查仍无成功结果"
"7375","https://site.whyapi.top/","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","授权 / 余额待核对，保留","本次返回权限错误，调度站旧记录为余额不足；尚未确认模型全部失效"
"7376","https://site.whyapi.top/","原有","ClaudeCode-Max","anthropic","error","异常 / 停用","授权 / 余额待核对，保留","本次返回权限错误，调度站旧记录为余额不足；尚未确认模型全部失效"
"7377","https://site.whyapi.top/","原有","ClaudeCode-Max","anthropic","error","异常 / 停用","授权 / 余额待核对，保留","本次返回权限错误，调度站旧记录为余额不足；尚未确认模型全部失效"
"7378","https://ai.wulusai.com","原有","Codex | Plus号池","openai","active","已暂停","待充值，保留","原始响应为 insufficient_user_quota；剩余额度不足预扣费，属于余额不足"
"7379","https://reverse-api.xyz/","原有","Codex | Plus号池","openai","active","已暂停","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7380","https://api.anc1ent.top/","原有","Codex | Plus号池","openai","active","已暂停","有成功记录，保留","近 1 小时存在成功探测，不属于全部失败；部分模型仍可能异常"
"7381","https://api.zayuapi.com","原有","ClaudeCode-Kiro逆向","anthropic","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7382","https://api.zayuapi.com","原有","Codex | Plus号池","openai","error","异常 / 停用","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7383","https://api.zayuapi.com","原有","ClaudeCode-Max-C","anthropic","active","已暂停","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7384","https://lowkeyapi.com/","原有","Codex | Plus号池","openai","active","已暂停","待充值，保留","本次复测返回余额或额度不足；按既定恢复规则保留配置"
"7385","https://daoxe.com/","原有","Grok","grok","active","已暂停","复测通过，保留","复测 grok-4.3 成功；未据此认定其他模型全部可用"
"7386","https://site.whyapi.top/","原有","Codex | Plus号池","openai","error","异常 / 停用","授权 / 余额待核对，保留","本次返回权限错误，调度站旧记录为余额不足；尚未确认模型全部失效"
"7387","https://www.huyunapi.com/","原有","Codex | Pro号池","openai","active","已暂停","复测通过，保留","复测 gpt-5.5 成功；未据此认定其他模型全部可用"
"7388","https://sub2.congmingai.com","原有","Codex | Pro号池","openai","active","已暂停","单次超时，保留","本次抽查超时；一次超时不足以判定整条线路持续失败"
"7389","https://code.aigcpro.org/","原有","Codex | Plus号池","openai","active","已暂停","复测通过，保留","复测 codex-auto-review 成功；未据此认定其他模型全部可用"
